saving only one halfx,y
5.320921992783920729e+01,-1.918892692484424600e+01
5.321804543448077851e+01,-1.897452550668955595e+01
5.322672794672382679e+01,-1.876012408853487656e+01
5.323526972734994445e+01,-1.854572267038019007e+01
5.324367298402124504e+01,-1.833132125222551068e+01
5.325193987065856049e+01,-1.811691983407082063e+01
5.326007248877535005e+01,-1.790251841591614124e+01
5.326807288876847934e+01,-1.768811699776145474e+01
5.327594307116758898e+01,-1.747371557960677180e+01
5.327875241143903651e+01,-1.739617057994724902e+01
5.328368498784428198e+01,-1.725931416145208885e+01
5.329130054318240184e+01,-1.704491274329739880e+01
5.329879159521079401e+01,-1.683051132514271941e+01
5.330615995669968044e+01,-1.661610990698802937e+01
5.331340739622176272e+01,-1.640170848883334997e+01
5.332053563917926198e+01,-1.618730707067866348e+01
5.332754636879793964e+01,-1.597290565252398231e+01
5.333444122708917234e+01,-1.575850423436929404e+01
5.334122181578085531e+01,-1.554410281621461465e+01
5.334788969721846286e+01,-1.532970139805992638e+01
5.335444639523682042e+01,-1.511529997990524521e+01
5.336089339600366088e+01,-1.490089856175055871e+01
5.336723214883571842e+01,-1.468649714359587222e+01
5.337346406698826939e+01,-1.447209572544119105e+01
5.337959052841883079e+01,-1.425769430728650278e+01
5.338561287652564857e+01,-1.404329288913182339e+01
5.339153242086192819e+01,-1.382889147097713511e+01
5.339735043782631863e+01,-1.361449005282245395e+01
5.340306817133034656e+01,-1.340008863466776745e+01
5.340868683344343282e+01,-1.318568721651308628e+01
5.341420760501615206e+01,-1.297128579835839979e+01
5.341963163628218325e+01,-1.275688438020371862e+01
5.342496004743962601e+01,-1.254248296204903212e+01
5.343019392921220145e+01,-1.232808154389434385e+01
5.343533434339075683e+01,-1.211368012573966269e+01
5.344038232335563521e+01,-1.189927870758497619e+01
5.344533887458035792e+01,-1.168487728943029502e+01
5.345020497511711000e+01,-1.147047587127560853e+01
5.345498157606425593e+01,-1.125607445312092736e+01
5.345966960201661067e+01,-1.104167303496624086e+01
5.346426995149854378e+01,-1.082727161681155970e+01
5.346878349738046410e+01,-1.061287019865687142e+01
5.347321108727895478e+01,-1.039846878050219203e+01
5.347755354394093530e+01,-1.018406736234750376e+01
5.348181166561208499e+01,-9.969665944192824369e+00
5.348598622638989752e+01,-9.755264526038136097e+00
5.349007797656168606e+01,-9.540863107883449601e+00
5.349315382959373011e+01,-9.376513139612223213e+00
5.349399426159417459e+01,-9.326461689728768434e+00
5.349752971915745547e+01,-9.112060271574080161e+00
5.350099254721792619e+01,-8.897658853419400771e+00
5.350438333809458413e+01,-8.683257435264710722e+00
5.350770266400156316e+01,-8.468856017110033108e+00
5.351095107727512357e+01,-8.254454598955344835e+00
5.351412911058834254e+01,-8.040053180800663668e+00
5.351723727715364731e+01,-7.825651762645977172e+00
5.352027607091343242e+01,-7.611250344491296893e+00
5.352324596671875412e+01,-7.396848926336609509e+00
5.352614742049627239e+01,-7.182447508181921236e+00
5.352898086940343347e+01,-6.968046090027240957e+00
5.353174673197212741e+01,-6.753644671872553573e+00
5.353444540824069264e+01,-6.539243253717873294e+00
5.353707727987443121e+01,-6.324841835563185910e+00
5.353964271027471256e+01,-6.110440417408505631e+00
5.354214204467651683e+01,-5.896038999253818247e+00
5.354457561023454559e+01,-5.681637581099137080e+00
5.354694371609797088e+01,-5.467236162944449696e+00
