65.0,-76.0,40.0
65.0,-76.0,40.0
67.0,-75.0,40.0
67.0,-75.0,40.0
69.0,-74.0,40.0
69.0,-73.0,40.0
70.0,-72.0,40.0
70.0,-72.0,40.0
71.0,-70.0,40.0
71.0,-69.0,40.0
72.0,-68.0,40.0
72.0,-67.0,40.0
72.0,-65.0,40.0
72.0,-64.0,40.0
73.0,-62.0,40.0
73.0,-61.0,40.0
73.0,-59.0,40.0
73.0,-59.0,40.0
73.0,-58.0,40.0
73.0,-56.0,40.0
73.0,-55.0,40.0
74.0,-53.0,40.0
74.0,-52.0,40.0
74.0,-50.0,40.0
74.0,-48.0,40.0
74.0,-47.0,40.0
74.0,-45.0,40.0
74.0,-44.0,40.0
74.0,-42.0,40.0
74.0,-41.0,40.0
74.0,-39.0,40.0
74.0,-38.0,40.0
74.0,-36.0,40.0
74.0,-35.0,40.0
74.0,-33.0,40.0
74.0,-32.0,40.0
74.0,-30.0,40.0
74.0,-28.0,40.0
74.0,-27.0,40.0
74.0,-25.0,40.0
74.0,-24.0,40.0
74.0,-22.0,40.0
74.0,-21.0,40.0
74.0,-19.0,40.0
74.0,-18.0,40.0
74.0,-16.0,40.0
74.0,-15.0,40.0
74.0,-13.0,40.0
74.0,-12.0,40.0
74.0,-10.0,40.0
74.0,-8.0,40.0
74.0,-7.0,40.0
74.0,-5.0,40.0
74.0,-4.0,40.0
74.0,-2.0,40.0
74.0,-1.0,40.0
74.0,1.0,40.0
74.0,2.0,40.0
73.0,4.0,40.0
73.0,5.0,40.0
73.0,7.0,40.0
73.0,8.0,40.0
73.0,10.0,40.0
73.0,11.0,40.0
73.0,12.0,40.0
73.0,13.0,40.0
73.0,15.0,40.0
73.0,16.0,40.0
73.0,18.0,40.0
73.0,19.0,40.0
72.0,21.0,40.0
72.0,22.0,40.0
72.0,24.0,40.0
72.0,25.0,40.0
72.0,27.0,40.0
72.0,28.0,40.0
72.0,30.0,40.0
72.0,30.0,40.0
71.0,32.0,40.0
71.0,33.0,40.0
71.0,35.0,40.0
71.0,36.0,40.0
71.0,38.0,40.0
71.0,39.0,40.0
71.0,41.0,40.0
71.0,42.0,40.0
71.0,44.0,40.0
71.0,45.0,40.0
71.0,47.0,40.0
71.0,48.0,40.0
71.0,50.0,40.0
71.0,52.0,40.0
71.0,53.0,40.0
71.0,55.0,40.0
72.0,56.0,40.0
72.0,56.0,40.0
72.0,58.0,40.0
72.0,59.0,40.0
72.0,61.0,40.0
72.0,62.0,40.0
73.0,64.0,40.0
73.0,65.0,40.0
73.0,67.0,40.0
73.0,68.0,40.0
73.0,69.0,40.0
73.0,70.0,40.0
74.0,72.0,40.0
74.0,73.0,40.0
74.0,75.0,40.0
74.0,76.0,40.0
