30.0,-2.0,36.0
32.0,-2.0,36.0
33.0,-1.0,36.0
34.0,1.0,36.0
35.0,2.0,36.0
36.0,3.0,36.0
37.0,4.0,36.0
38.0,5.0,36.0
39.0,6.0,36.0
40.0,8.0,36.0
40.0,9.0,36.0
41.0,10.0,36.0
42.0,13.0,36.0
42.0,14.0,36.0
43.0,16.0,36.0
43.0,17.0,36.0
44.0,19.0,36.0
44.0,21.0,36.0
44.0,23.0,36.0
44.0,26.0,36.0
44.0,28.0,36.0
43.0,30.0,36.0
43.0,31.0,36.0
42.0,33.0,36.0
41.0,34.0,36.0
40.0,35.0,36.0
39.0,36.0,36.0
36.0,36.0,36.0
35.0,37.0,36.0
33.0,37.0,36.0
31.0,37.0,36.0
30.0,36.0,36.0
28.0,36.0,36.0
27.0,35.0,36.0
24.0,34.0,36.0
23.0,34.0,36.0
22.0,33.0,36.0
21.0,31.0,36.0
20.0,30.0,36.0
20.0,29.0,36.0
19.0,27.0,36.0
19.0,26.0,36.0
18.0,23.0,36.0
18.0,21.0,36.0
18.0,19.0,36.0
19.0,17.0,36.0
19.0,15.0,36.0
19.0,14.0,36.0
20.0,11.0,36.0
21.0,10.0,36.0
21.0,9.0,36.0
22.0,7.0,36.0
23.0,6.0,36.0
23.0,5.0,36.0
24.0,3.0,36.0
26.0,2.0,36.0
27.0,1.0,36.0
28.0,-0.0,36.0
29.0,-1.0,36.0
30.0,-2.0,36.0
