-46.0,-54.0,36.0
-45.0,-52.0,36.0
-45.0,-51.0,36.0
-44.0,-49.0,36.0
-44.0,-47.0,36.0
-43.0,-46.0,36.0
-42.0,-44.0,36.0
-42.0,-43.0,36.0
-41.0,-41.0,36.0
-41.0,-39.0,36.0
-41.0,-38.0,36.0
-40.0,-35.0,36.0
-40.0,-33.0,36.0
-40.0,-31.0,36.0
-40.0,-29.0,36.0
-41.0,-27.0,36.0
-41.0,-26.0,36.0
-41.0,-23.0,36.0
-42.0,-21.0,36.0
-42.0,-20.0,36.0
-42.0,-18.0,36.0
-43.0,-16.0,36.0
-43.0,-14.0,36.0
-43.0,-13.0,36.0
-44.0,-10.0,36.0
-44.0,-8.0,36.0
-44.0,-6.0,36.0
-44.0,-5.0,36.0
-44.0,-3.0,36.0
-44.0,-1.0,36.0
-44.0,2.0,36.0
-44.0,4.0,36.0
-44.0,6.0,36.0
-44.0,7.0,36.0
-44.0,9.0,36.0
-43.0,11.0,36.0
-43.0,13.0,36.0
-42.0,15.0,36.0
-42.0,16.0,36.0
-41.0,18.0,36.0
-40.0,19.0,36.0
-39.0,20.0,36.0
-38.0,21.0,36.0
-37.0,22.0,36.0
-35.0,23.0,36.0
-34.0,24.0,36.0
-32.0,24.0,36.0
-31.0,25.0,36.0
-29.0,25.0,36.0
-27.0,25.0,36.0
-26.0,24.0,36.0
-23.0,24.0,36.0
-22.0,23.0,36.0
-21.0,22.0,36.0
-20.0,21.0,36.0
-19.0,20.0,36.0
-18.0,18.0,36.0
-18.0,17.0,36.0
-17.0,15.0,36.0
-17.0,14.0,36.0
-17.0,11.0,36.0
-16.0,9.0,36.0
-16.0,7.0,36.0
-16.0,5.0,36.0
-16.0,3.0,36.0
-16.0,1.0,36.0
-16.0,-2.0,36.0
-17.0,-4.0,36.0
-17.0,-6.0,36.0
-17.0,-7.0,36.0
-17.0,-9.0,36.0
-17.0,-11.0,36.0
-18.0,-14.0,36.0
-18.0,-16.0,36.0
-18.0,-17.0,36.0
-18.0,-19.0,36.0
-19.0,-21.0,36.0
-19.0,-23.0,36.0
-19.0,-25.0,36.0
-19.0,-27.0,36.0
-20.0,-29.0,36.0
-20.0,-31.0,36.0
-20.0,-33.0,36.0
-20.0,-35.0,36.0
-20.0,-38.0,36.0
-19.0,-40.0,36.0
-19.0,-42.0,36.0
-19.0,-43.0,36.0
-18.0,-45.0,36.0
-18.0,-47.0,36.0
-18.0,-48.0,36.0
-17.0,-51.0,36.0
-17.0,-52.0,36.0
-16.0,-54.0,36.0
